Movie Name,Script File,Budget,Domestic Gross,Worldwide Gross
Avengers: Endgame,Avengers-Endgame_Screenplay.txt,"$400,000,000","$858,373,000","$2,748,242,781"
Avatar,Avatar_Screenplay.txt,"$237,000,000","$785,221,649","$2,923,706,026"
Pirates of the Caribbean: Dead Man’s Chest,Pirates-of-the-Caribbean-Dead-Man's-Chest_Screenplay.txt,"$225,000,000","$423,315,812","$1,066,179,725"
Men in Black 3,Men-in-Black-3_Screenplay.txt,"$215,000,000","$179,020,854","$654,213,485"
Tenet,Tenet_Screenplay.txt,"$205,000,000","$58,504,105","$359,518,466"
Black Panther,Black-Panther_Screenplay.txt,"$200,000,000","$700,059,566","$1,334,157,082"
Titanic,Titanic_Screenplay.txt,"$200,000,000","$674,460,013","$2,223,048,786"
Guardians of the Galaxy Vol 2,Guardians-of-the-Galaxy-Vol-2_Screenplay.txt,"$200,000,000","$389,813,101","$869,087,963"
Cars 2,Cars-2_Screenplay.txt,"$200,000,000","$191,450,875","$560,155,383"
Tron: Legacy,TRON-Legacy_Screenplay.txt,"$200,000,000","$172,062,763","$399,866,199"
2012,2012_Screenplay.txt,"$200,000,000","$166,112,167","$757,677,748"
Terminator Salvation,Terminator-Salvation_Screenplay.txt,"$200,000,000","$125,322,469","$365,491,792"
Killers of the Flower Moon,Killers-of-the-Flower-Moon_Screenplay.txt,"$200,000,000","$68,026,901","$156,424,331"
Thor: Ragnarok,Thor-Ragnarok_Screenplay.txt,"$180,000,000","$315,058,289","$850,482,778"
Up,Up_Screenplay.txt,"$175,000,000","$293,004,164","$731,463,377"
Coco,Coco_Screenplay.txt,"$175,000,000","$210,460,015","$796,401,721"
G.I. Joe: The Rise of Cobra,G.I.-Joe-The-Rise-of-Cobra_Screenplay.txt,"$175,000,000","$150,201,498","$302,469,017"
Wild Wild West,Wild-Wild-West_Screenplay.txt,"$175,000,000","$113,805,681","$221,229,335"
Snow White and the Huntsman,Snow-White-and-the-Huntsman_Screenplay.txt,"$170,000,000","$155,136,755","$401,021,746"
How to Train Your Dragon,How-to-Train-Your-Dragon_Screenplay.txt,"$165,000,000","$217,581,232","$494,870,992"
Interstellar,Interstellar_Screenplay.txt,"$165,000,000","$188,017,894","$647,040,051"
Shrek the Third,Shrek-the-Third_Screenplay.txt,"$160,000,000","$322,719,944","$807,330,936"
Inception,Inception_Screenplay.txt,"$160,000,000","$292,576,195","$825,786,894"
War for the Planet of the Apes,War-for-the-Planet-of-the-Apes_Screenplay.txt,"$152,000,000","$146,880,162","$489,592,267"
Pearl Harbor,Pearl-Harbor_Screenplay.txt,"$151,500,000","$198,539,855","$449,239,853"
Wonder Woman,Wonder-Woman_Screenplay.txt,"$150,000,000","$412,563,408","$817,691,766"
Frozen,Frozen_Screenplay.txt,"$150,000,000","$400,953,009","$1,273,876,199"
Zootopia,Zootopia_Screenplay.txt,"$150,000,000","$341,268,248","$1,002,462,578"
Hancock,Hancock_Screenplay.txt,"$150,000,000","$227,946,274","$624,234,272"
Thor,Thor_Screenplay.txt,"$150,000,000","$181,030,624","$449,326,618"
How to Train Your Dragon 2,How-to-Train-Your-Dragon-2_Screenplay.txt,"$145,000,000","$177,002,924","$614,586,270"
Rise of the Guardians,Rise-of-the-Guardians_Screenplay.txt,"$145,000,000","$103,412,758","$306,941,670"
Star Trek,Star-Trek_Screenplay.txt,"$140,000,000","$257,730,019","$386,839,614"
Armageddon,Armageddon_Screenplay.txt,"$140,000,000","$201,578,182","$554,600,000"
Watchmen,Watchmen_Screenplay.txt,"$138,000,000","$107,509,799","$186,976,250"
Miami Vice,Miami-Vice_Screenplay.txt,"$135,000,000","$63,478,838","$164,920,076"
War of the Worlds,War-of-the-Worlds_Screenplay.txt,"$132,000,000","$234,280,354","$606,836,535"
Kung Fu Panda,Kung-Fu-Panda_Screenplay.txt,"$130,000,000","$215,434,591","$631,910,531"
Megamind,Megamind_Screenplay.txt,"$130,000,000","$148,415,853","$321,887,208"
Logan,Logan_Screenplay.txt,"$127,000,000","$226,277,068","$614,202,315"
Prometheus,Prometheus_Screenplay.txt,"$125,000,000","$126,477,084","$402,448,265"
Life of Pi,Life-of-Pi_Screenplay.txt,"$120,000,000","$124,987,022","$619,310,368"
Ghost Rider,Ghost-Rider_Screenplay.txt,"$120,000,000","$115,802,596","$229,545,589"
Oblivion,Oblivion_Screenplay.txt,"$120,000,000","$89,107,235","$287,916,633"
Speed Racer,Speed-Racer_Screenplay.txt,"$120,000,000","$43,945,766","$93,394,462"
Gravity,Gravity_Screenplay.txt,"$110,000,000","$274,092,705","$684,657,731"
Ocean\'s Twelve,Ocean's-Twelve_Screenplay.txt,"$110,000,000","$125,531,634","$362,989,076"
Tomorrow Never Dies,Tomorrow-Never-Dies_Screenplay.txt,"$110,000,000","$125,304,276","$339,504,276"
Passengers,Passengers_Screenplay.txt,"$110,000,000","$100,014,699","$302,239,672"
Ali,Ali_Screenplay.txt,"$109,000,000","$58,183,966","$87,683,966"
"I, Robot","I,-Robot_Screenplay.txt","$105,000,000","$144,801,023","$348,629,585"
Starship Troopers,Starship-Troopers_Screenplay.txt,"$105,000,000","$54,768,952","$121,099,956"
Gone in 60 Seconds,Gone-in-60-Seconds_Screenplay.txt,"$103,300,000","$101,643,008","$232,643,008"
Gladiator,Gladiator_Screenplay.txt,"$103,000,000","$187,683,805","$451,683,599"
Public Enemies,Public-Enemies_Screenplay.txt,"$102,500,000","$97,104,620","$212,282,709"
Minority Report,Minority-Report_Screenplay.txt,"$102,000,000","$132,024,714","$358,824,714"
Django Unchained,Django-Unchained_Screenplay.txt,"$100,000,000","$162,805,434","$449,841,566"
True Lies,True-Lies_Screenplay.txt,"$100,000,000","$146,282,411","$365,300,000"
American Gangster,American-Gangster_Screenplay.txt,"$100,000,000","$130,164,645","$267,985,456"
Catwoman,Catwoman_Screenplay.txt,"$100,000,000","$40,202,379","$82,078,046"
Gangs of New York,Gangs-of-New-York_Screenplay.txt,"$97,000,000","$77,730,500","$183,124,621"
Finding Nemo,Finding-Nemo_Screenplay.txt,"$94,000,000","$380,529,370","$936,094,852"
Jurassic Park III,Jurassic-Park-III_Screenplay.txt,"$93,000,000","$181,166,115","$365,900,000"
Rise of the Planet of the Apes,Rise-of-the-Planet-of-the-Apes_Screenplay.txt,"$93,000,000","$176,760,185","$470,986,200"
Men in Black,Men-in-Black_Screenplay.txt,"$90,000,000","$250,690,539","$587,790,539"
Rush Hour 2,Rush-Hour-2_Screenplay.txt,"$90,000,000","$226,164,286","$347,425,832"
Sherlock Holmes,Sherlock-Holmes_Screenplay.txt,"$90,000,000","$209,028,679","$498,438,212"
What Lies Beneath,What-Lies-Beneath_Screenplay.txt,"$90,000,000","$155,464,351","$288,693,989"
Tropic Thunder,Tropic-Thunder_Screenplay.txt,"$90,000,000","$110,515,313","$191,145,256"
Valkyrie,Valkyrie_Screenplay.txt,"$90,000,000","$83,107,829","$203,932,174"
Hollow Man,Hollow-Man_Screenplay.txt,"$90,000,000","$73,209,340","$191,200,000"
Mission to Mars,Mission-to-Mars_Screenplay.txt,"$90,000,000","$60,874,615","$106,000,000"
